num,word,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09
117,ROAM,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
118,ROCK,3,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
119,ROLL,4,2,2,2,4,1,2,3,2,2,2,3,3,3,3,4
120,ROSE,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
121,ROW,3,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
122,SACK,3,2,3,2,4,1,3,3,1,2,3,3,3,3,3,4
123,SAD,4,2,3,2,4,1,2,3,2,2,3,3,3,3,3,4
124,SAFE,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
125,SAGE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
126,SAIL,4,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
127,SAUCE,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
128,SCALE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
129,SCOOP,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
130,SCORE,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
131,SCOTCH,3,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
132,SCRAP,3,2,2,2,4,1,3,3,1,2,3,3,3,3,3,4
133,SCREEN,4,2,1,2,4,3,2,2,2,2,3,3,3,3,3,4
134,SCROLL,4,2,3,2,4,1,4,3,2,2,3,3,3,3,3,4
135,SCUM,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
136,SEED,4,2,2,2,4,1,3,3,2,2,3,3,3,3,3,4
137,SHADE,4,2,1,2,4,1,3,3,2,2,2,3,3,3,3,4
138,SHAG,4,2,1,2,4,1,2,3,1,2,3,3,3,3,3,4
139,SHAPE,3,2,2,1,4,1,3,3,2,2,3,3,3,3,3,4
140,SHARP,4,2,2,1,4,1,2,3,1,2,3,3,3,3,3,4
141,SHEEP,4,3,4,2,4,1,2,3,2,2,3,3,3,3,3,4
142,SHELF,3,2,2,2,4,1,2,3,2,2,3,3,3,3,3,4
143,SHRINK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
144,SIGN,4,2,4,2,4,1,3,3,2,3,3,3,3,3,3,4
145,SKIP,4,3,3,2,4,1,2,3,2,2,3,3,3,3,3,3
146,SMOKE,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
147,SNOB,3,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
148,SOAP,4,2,1,2,4,1,3,3,2,2,3,3,3,3,3,4
149,SOAR,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
150,SOUL,4,2,2,2,4,1,2,2,2,2,3,3,3,3,3,4
151,SPACE,4,2,1,2,4,1,3,3,2,2,2,3,3,3,3,1
152,SPELL,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
153,SPY,4,2,2,2,4,1,3,3,2,3,3,3,3,3,3,4
154,SQUASH,4,2,3,2,4,1,2,2,2,2,3,3,3,3,3,4
155,STALK,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
156,STEEL,4,2,4,2,4,1,3,3,2,2,3,3,3,3,3,4
157,STORE,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
158,STRAIGHT,4,2,2,2,4,1,2,3,2,2,2,3,3,4,4,4
159,STRETCH,4,2,1,2,4,1,2,3,2,2,3,3,3,3,3,4
160,STRIKE,4,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
161,SWAMP,3,2,3,2,4,1,3,3,2,2,3,3,3,3,3,4
162,TAB,4,2,1,1,4,1,2,3,2,2,3,3,2,3,3,4
163,TART,4,2,2,1,4,1,2,3,2,4,2,3,3,3,3,4
164,TICK,3,2,3,2,4,1,4,3,2,2,2,3,2,3,3,4
